dia_de_semana,hora,linea,estacion,trx_totales
False,5,D,CONGRESO DE TUCUMAN,95.0
False,5,D,FACULTAD DE MEDICINA,4.0
False,5,D,JOSE HERNANDEZ,16.0
False,5,D,JURAMENTO,17.0
False,5,D,MINISTRO CARRANZA,22.0
False,5,D,OLLEROS,21.0
False,5,D,PALERMO,53.0
False,5,D,PLAZA ITALIA,35.0
False,5,D,PUEYRREDON.D,7.0
False,5,D,SCALABRINI ORTIZ,17.0
False,5,D,TRIBUNALES,6.0
False,5,E,AVENIDA LA PLATA,22.0
False,5,E,BOEDO,11.0
False,5,E,BOLIVAR,19.0
False,5,E,CATALINAS,8.0
False,5,E,CORREO CENTRAL,19.0
False,5,E,EMILIO MITRE,7.0
False,5,E,ENTRE RIOS,17.0
False,5,E,GENERAL BELGRANO,24.0
False,5,E,INDEPENDENCIA.H,33.0
False,5,E,JOSE MARIA MORENO,24.0
False,5,E,JUJUY,10.0
False,5,E,MEDALLA MILAGROSA,4.0
False,5,E,PICHINCHA,4.0
False,5,E,PZA. DE LOS VIRREYES,86.0
False,5,E,RETIRO E,15.0
False,5,E,SAN JOSE,9.0
False,5,E,URQUIZA,4.0
False,5,E,VARELA,4.0
False,5,H,CASEROS,19.0
False,5,H,CORDOBA,7.0
False,5,H,CORRIENTES,7.0
False,5,H,FACULTAD DE DERECHO,7.0
False,5,H,HOSPITALES,79.0
False,5,H,HUMBERTO I,12.0
False,5,H,INCLAN,6.0
False,5,H,LAS HERAS,39.0
False,5,H,ONCE,29.0
False,5,H,PATRICIOS,47.0
False,5,H,SANTA FE,15.0
False,5,H,VENEZUELA,18.0
False,6,A,ACOYTE,262.0
False,6,A,ALBERTI,102.0
False,6,A,CARABOBO,222.0
False,6,A,CASTRO BARROS,188.0
False,6,A,CONGRESO,279.0
False,6,A,FLORES,324.0
False,6,A,LIMA,192.0
False,6,A,LORIA,221.0
False,6,A,PASCO,51.0
False,6,A,PERU,173.0
False,6,A,PIEDRAS,102.0
False,6,A,PLAZA DE MAYO,367.0
False,6,A,PLAZA MISERERE,480.0
False,6,A,PRIMERA JUNTA,353.0
False,6,A,PUAN,152.0
False,6,A,RIO DE JANEIRO,232.0
False,6,A,SAENZ PEÃÂÃÂ±A ,139.0
False,6,A,SAN PEDRITO,717.0
False,6,B,ANGEL GALLARDO,259.0
False,6,B,CALLAO.B,334.0
False,6,B,CARLOS GARDEL,367.0
False,6,B,CARLOS PELLEGRINI,617.0
False,6,B,DORREGO,272.0
